method,method_short,scene,mode,run,partial,missing,status,target_reached,n_entries,best_psnr,best_psnr_iteration,process_wall_time_s,peak_vram_mb,model_storage_mb,full_folder_mb,target_eval_loss,max_iterations,batch_size,iteration_offset,eval_every_n_iters,eval_every_n_seconds,final_iteration,final_total_iterations,final_training_time_s,final_wall_time_s,final_benchmark_overhead_s,final_psnr,final_ssim,final_lpips,final_eval_l1_loss,final_num_gaussians,final_images_seen,best_psnr_iter,best_psnr_time_s,best_psnr_ngauss,best_ssim,best_ssim_iter,best_ssim_time_s,best_ssim_ngauss,best_lpips,best_lpips_iter,best_lpips_time_s,best_lpips_ngauss,best_eval_l1_loss,best_eval_l1_loss_iter,best_eval_l1_loss_time_s,best_eval_l1_loss_ngauss,fc_iteration,fc_total_iterations,fc_training_time_s,fc_wall_time_s,fc_images_seen,fc_psnr,fc_ssim,fc_lpips,fc_eval_l1_loss,fc_num_gaussians
4DGS native-4D (fudan-zvg),4DGS-fudan,hook,iterations,hook_iters30000,False,False,finished,False,31,31.896457290649415,5000.0,10478.963416337967,2587.0,108.5072,1055.8151,0.0,30000,8,0,1000,30.0,30000.0,30000.0,10312.756108522415,10443.763545751572,131.0074372291565,30.640374755859376,0.9525135338306427,0.04652206934988499,0.006916773447301239,364230.0,240000.0,5000.0,1474.2587130069733,176674.0,0.9608218938112258,4000.0,1181.098138809204,141089.0,0.0428068052046001,10000.0,3107.3367400169373,283758.0,0.0059557125088758765,4000.0,1181.098138809204,141089.0,,,,,,,,,,
4DGS native-4D (fudan-zvg),4DGS-fudan,hook,target_eval_loss,hook_loss0p006253,False,False,stopped_on_target,True,31,31.566451740264892,2994.0,1239.1535613536835,2385.0,66.9662,416.8517,0.006253,30000,8,0,1000,30.0,2994.0,2994.0,905.5837428569794,1065.206959247589,159.62321639060974,31.566451740264892,0.9592937231063843,0.04964578468352556,0.006198110152035951,109036.0,23952.0,2994.0,905.5837428569794,109036.0,0.9592937231063843,2994.0,905.5837428569794,109036.0,0.04964578468352556,2994.0,905.5837428569794,109036.0,0.006198110152035951,2994.0,905.5837428569794,109036.0,2883.0,2883.0,875.3969252109528,1030.5758447647095,23064.0,31.51965789794922,0.9589796423912048,0.05004305243492126,0.00623737252317369,104829.0
4DGS native-4D (fudan-zvg),4DGS-fudan,jumpingjacks,iterations,jumpingjacks_iters30000_partial,True,False,finished,False,16,32.24644212722778,5000.0,,,,,0.0,30000,16,0,1000,30.0,15000.0,15000.0,11584.134071111679,11666.678380966187,82.54430985450745,30.109956550598145,0.9644627422094345,0.03739812429994345,0.005770574073540047,976051.0,240000.0,5000.0,2809.365578889847,316172.0,0.9716948211193085,4000.0,2202.3901908397675,228100.0,0.03383862525224686,7000.0,4202.048895120621,461847.0,0.004390893346862867,4000.0,2202.3901908397675,228100.0,,,,,,,,,,
4DGS native-4D (fudan-zvg),4DGS-fudan,jumpingjacks,target_eval_loss,jumpingjacks_loss0p00461,False,False,stopped_on_target,True,52,31.790664768218996,2773.0,2067.3909101486206,2563.0,87.5076,541.0834,0.00461,30000,16,0,1000,30.0,2834.0,2834.0,1549.3596498966217,2004.6624825000763,455.3028326034546,31.755555438995362,0.9703658431768417,0.03985655074939132,0.004600487975403666,142482.0,45344.0,2773.0,1519.1218283176422,133541.0,0.9705079078674317,2773.0,1519.1218283176422,133541.0,0.03960571447387338,2773.0,1519.1218283176422,133541.0,0.004587636241922155,2773.0,1519.1218283176422,133541.0,2773.0,2773.0,1519.1218283176422,1962.9986324310303,44368.0,31.790664768218996,0.9705079078674317,0.03960571447387338,0.004587636241922155,133541.0
4DGS native-4D (fudan-zvg),4DGS-fudan,lego,iterations,lego_iters30000,False,True,finished,False,0,,,150.7603633403778,953.0,0.0003,2.5986,0.0,30000,2,0,1000,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4DGS native-4D (fudan-zvg),4DGS-fudan,mutant,iterations,mutant_iters30000,False,False,finished,False,31,37.07371587753296,11000.0,9216.862914562225,2287.0,98.0584,674.1131,0.0,30000,8,0,1000,30.0,30000.0,30000.0,9039.071042060852,9176.756750106812,137.68570804595947,36.50708694458008,0.9818141996860504,0.017947762832045557,0.0032005347718950363,175706.0,240000.0,11000.0,3231.5503923892975,159661.0,0.9838180929422379,11000.0,3231.5503923892975,159661.0,0.017513675196096302,14000.0,4148.982025146484,171423.0,0.0029577590932603924,11000.0,3231.5503923892975,159661.0,,,,,,,,,,
4DGS native-4D (fudan-zvg),4DGS-fudan,mutant,target_eval_loss,mutant_loss0p003106,False,False,stopped_on_target,True,49,36.58916454315185,5191.0,1900.9181289672852,2437.0,72.358,452.4991,0.003106,30000,8,0,1000,30.0,5191.0,5191.0,1447.8093192577362,1736.5197594165802,288.710440158844,36.58916454315185,0.983137634396553,0.021076340321451427,0.003056271222885698,117815.0,41528.0,5191.0,1447.8093192577362,117815.0,0.983137634396553,5191.0,1447.8093192577362,117815.0,0.021076340321451427,5191.0,1447.8093192577362,117815.0,0.003056271222885698,5191.0,1447.8093192577362,117815.0,5083.0,5083.0,1417.6843492984772,1701.8248670101166,40664.0,36.44169969558716,0.9827915906906128,0.021439136238768697,0.0030909855966456236,116419.0
4DGS native-4D (fudan-zvg),4DGS-fudan,standup,iterations,standup_iters30000,False,False,finished,False,31,38.46521148681641,10000.0,9206.58942270279,2243.0,105.4493,777.4066,0.0,30000,8,0,1000,30.0,30000.0,30000.0,8895.630875110626,9033.190517425537,137.5596423149109,37.61511039733887,0.9839942395687103,0.016511994297616184,0.002274265344021842,219169.0,240000.0,10000.0,2777.4851763248444,171695.0,0.9863893657922744,7000.0,1911.8381502628326,135098.0,0.015616204217076301,14000.0,3996.97460436821,209328.0,0.0020651724655181168,10000.0,2777.4851763248444,171695.0,,,,,,,,,,
4DGS native-4D (fudan-zvg),4DGS-fudan,standup,target_eval_loss,standup_loss0p002168,False,False,stopped_on_target,True,44,37.94307231903076,4690.0,1558.141479730606,2437.0,60.0053,377.1477,0.002168,30000,8,0,1000,30.0,4690.0,4690.0,1296.0473341941833,1518.7996337413788,222.75229954719543,37.94307231903076,0.9858632296323776,0.01926171253435314,0.0021366308676078914,97702.0,37520.0,4690.0,1296.0473341941833,97702.0,0.9858632296323776,4690.0,1296.0473341941833,97702.0,0.01926171253435314,4690.0,1296.0473341941833,97702.0,0.0021366308676078914,4690.0,1296.0473341941833,97702.0,4574.0,4574.0,1265.7917494773865,1484.1224811077118,36592.0,37.76605033874512,0.9857092797756195,0.019513252098113297,0.0021526758733671158,95685.0
4DGS native-4D (fudan-zvg),4DGS-fudan,trex,iterations,trex_iters30000_partial,True,False,running,False,7,30.39183301925659,4000.0,,,,,0.0,30000,24,0,1000,30.0,6000.0,6000.0,6369.5396292209625,6423.234152793884,53.69452357292175,29.929743385314943,0.9764355599880219,0.025985975144430996,0.005816559318918735,844039.0,144000.0,4000.0,3752.826339483261,502073.0,0.9776804178953171,4000.0,3752.826339483261,502073.0,0.02564655849710107,5000.0,4974.880120754242,680514.0,0.005516828433610499,4000.0,3752.826339483261,502073.0,,,,,,,,,,
