method,method_short,scene,mode,run,partial,iteration_offset,iteration,total_iterations,images_seen,stage,training_time_s,wall_time_s,benchmark_overhead_s,psnr,ssim,lpips,eval_l1_loss,eval_photometric_loss,eval_loss,num_gaussians,train_batch_loss,eval_duration_s
4DGaussians (Wu et al.),4DGaussians,hellwarrior,iterations,hellwarrior_iters27000,False,3000,17000,20000,20000,fine,489.51598358154297,563.6345820426941,74.11859846115112,38.55322952270508,0.9757373243570328,0.052114405855536464,0.0026355488691478966,0.006960974223911768,0.0026355488691478966,7259,0.0016121864318847656,4.347781181335449
4DGaussians (Wu et al.),4DGaussians,hellwarrior,iterations,hellwarrior_iters27000,False,3000,18000,21000,21000,fine,515.7051556110382,594.1845297813416,78.47937417030334,38.58541202545166,0.9758660852909088,0.051774623431265356,0.002622295648325235,0.00692461946047843,0.002622295648325235,7259,0.0022121926303952932,4.35334324836731
4DGaussians (Wu et al.),4DGaussians,hellwarrior,iterations,hellwarrior_iters27000,False,3000,19000,22000,22000,fine,542.0265681743622,624.8724513053894,82.84588313102722,38.59590244293213,0.9759305745363236,0.05155799649655819,0.002616020862478763,0.006906701782718292,0.002616020862478763,7259,0.0016068973345682025,4.2787463665008545
4DGaussians (Wu et al.),4DGaussians,hellwarrior,iterations,hellwarrior_iters27000,False,3000,20000,23000,23000,fine,568.6457858085632,655.783985376358,87.1381995677948,38.5917308807373,0.9759581804275512,0.05140175130218268,0.0026166813157033177,0.00690170896705241,0.0026166813157033177,7259,0.0018491999944671988,4.31266975402832
4DGaussians (Wu et al.),4DGaussians,hellwarrior,iterations,hellwarrior_iters27000,False,3000,21000,24000,24000,fine,595.7816655635834,687.2458159923553,91.46415042877197,38.59717082977295,0.9760170370340348,0.051183676905930044,0.0026117147819604723,0.006885964418761428,0.0026117147819604723,7259,0.0018614568980410695,4.3137407302856445
4DGaussians (Wu et al.),4DGaussians,hellwarrior,iterations,hellwarrior_iters27000,False,3000,22000,25000,25000,fine,622.4884924888611,718.2913229465485,95.80283045768738,38.62630424499512,0.9761067688465118,0.051001775451004504,0.002596929291030392,0.00685618966352195,0.002596929291030392,7259,0.001580582931637764,4.354834794998169
4DGaussians (Wu et al.),4DGaussians,hellwarrior,iterations,hellwarrior_iters27000,False,3000,23000,26000,26000,fine,649.1240472793579,749.3010423183441,100.1769950389862,38.62907962799072,0.9761500805616379,0.05092443339526653,0.002596930309664458,0.00684752813540399,0.002596930309664458,7259,0.0017348702531307936,4.30712628364563
4DGaussians (Wu et al.),4DGaussians,hellwarrior,iterations,hellwarrior_iters27000,False,3000,24000,27000,27000,fine,675.978221654892,780.4759950637817,104.49777340888977,38.635461235046385,0.9761680066585541,0.05075888261198998,0.0025956838973797856,0.006842945786193013,0.0025956838973797856,7259,0.0014126184396445751,4.290081262588501
4DGaussians (Wu et al.),4DGaussians,hellwarrior,iterations,hellwarrior_iters27000,False,3000,25000,28000,28000,fine,702.899911403656,811.702828168869,108.80291676521301,38.63541946411133,0.9761773318052291,0.05067068934440613,0.0025917841761838646,0.006837960979901264,0.0025917841761838646,7259,0.0016729243798181415,4.309650421142578
4DGaussians (Wu et al.),4DGaussians,hellwarrior,iterations,hellwarrior_iters27000,False,3000,26000,29000,29000,fine,729.7343916893005,842.860137462616,113.12574577331543,38.643801879882815,0.976272314786911,0.05046827243641019,0.0025862298090942202,0.006814520889893174,0.0025862298090942202,7259,0.0015734495827928185,4.3114013671875
4DGaussians (Wu et al.),4DGaussians,hellwarrior,iterations,hellwarrior_iters27000,False,3000,27000,30000,30000,fine,756.209963798523,873.6707942485809,117.46083045005798,38.65237560272217,0.9762926816940307,0.050369065068662164,0.0025807462516240776,0.006806060662493119,0.0025807462516240776,7259,0.0016461577033624053,4.392487287521362
4DGaussians (Wu et al.),4DGaussians,hellwarrior,target_eval_loss,hellwarrior_loss0p005358,False,3000,1,3001,3001,fine,31.00418734550476,31.00418734550476,0.0,27.239599227905273,0.8782393366098404,0.11251738332211972,0.013503389712423087,0.03515484444797039,0.013503389712423087,4421,0.0101022245362401,5.4049224853515625
